nama_menu,harga_menu,kategori_course,profil_rasa,nama_restoran,link_restoran,alamat,link_alamat
Nasi Goreng Telor,22000,Main Course,asin gurih  nasi telur,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Nasi Goreng Mawud,26600,Main Course,asin gurih manis nasi mie ,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Mie goreng Special,30000,Main Course,asin gurih  mie ,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Mie goreng Seafood,30000,Main Course,asin gurih  mie ikan udang ,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Mie goreng Kambing,30000,Main Course,asin gurih  mie kambing,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Mie goreng Sapi,30000,Main Course,asin gurih  mie sapi,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Mie goreng Telor,23800,Main Course,asin gurih  mie telur,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Lo Mie,23000,Main Course,asin gurih  mie ,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Ifu Mie,28000,Main Course,asin gurih  mie ,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Mie Masak Kuah,28000,Main Course,asin gurih  mie ,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Mie Siram,28000,Main Course,asin gurih  mie ,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Bihun goreng Special,30000,Main Course,asin gurih  bihun ,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Bihun goreng Seafood,30000,Main Course,asin gurih  bihun ikan udang ,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
Bihun goreng Kambing,30000,Main Course,asin gurih  bihun kambing,Bakmiseafood99,https://gofood.co.id/jakarta/restaurant/bakmie-seafood-99-kali-sari-1-cijantung-09a74d8d-d3fe-4e73-8bc0-eb0ba960c433,"Jl. Kalisari Raya No. 63, Cijantung, Jakarta",https://maps.app.goo.gl/f1oxgMrhSxdeAxzE8
